created_at,product_code,customer_code,status,tipo
"2023-05-11 13:01:33",123864811,56613782,NORMAL,6
"2023-05-11 13:01:36",130008404,6075576,NORMAL,7
"2023-05-11 13:01:35",135075245,8265203,NORMAL,6
"2023-05-11 13:01:49",135566587,58354523,NORMAL,3
"2023-05-11 13:02:59",135055971,27344167,NORMAL,3
"2023-05-11 13:01:48",134990686,58224948,CRITICO,2
"2023-05-11 13:02:59",135053393,58256884,NORMAL,2
"2023-05-11 13:01:49",54091948,14941888,NORMAL,9
"2023-05-11 13:01:34",109942228,48305129,NORMAL,3
"2023-05-11 13:02:59",135052582,56635266,NORMAL,6
"2023-05-11 13:01:48",134804298,58201399,CRITICO,2
"2023-05-11 13:02:59",135053063,47354809,NORMAL,3
"2023-05-11 13:01:49",84681532,42856272,CRITICO,8
"2023-05-11 13:01:48",135341634,58308284,NORMAL,3
"2023-05-11 13:01:49",130907332,33815482,NORMAL,8
"2023-05-11 13:01:48",78831151,3476850,NORMAL,7
"2023-05-11 13:01:48",135126640,58274398,NORMAL,2
"2023-05-11 13:02:59",135053121,15031649,NORMAL,0
"2023-05-11 13:01:48",53897037,14669312,NORMAL,6
"2023-05-11 13:01:49",135341035,16255735,NORMAL,2
"2023-05-11 13:01:49",85452258,43073272,CRITICO,0
"2023-05-11 13:02:59",81460661,4181770,CRITICO,8
"2023-05-11 13:01:48",53827338,3361113,NORMAL,6
"2023-05-11 13:01:49",89344902,3856666,NORMAL,5
"2023-05-11 13:01:33",121585298,55849799,NORMAL,8
"2023-05-11 13:02:59",135050155,22957783,NORMAL,9
"2023-05-11 13:02:59",135053001,30932805,NORMAL,9
"2023-05-11 13:01:48",87360421,1767290,NORMAL,6
"2023-05-11 13:02:30",126620607,27571391,CRITICO,5
"2023-05-11 13:01:35",134503216,444622,CRITICO,4
"2023-05-11 13:01:36",134503333,2922007,CRITICO,2
"2023-05-11 13:01:34",122554794,48146511,CRITICO,1
"2023-05-11 13:01:49",130924513,24493937,NORMAL,4
"2023-05-11 13:02:59",81445209,41318180,CRITICO,3
"2023-05-11 13:01:48",134472969,58107554,CRITICO,1
"2023-05-11 13:01:34",121569416,55845734,NORMAL,8
"2023-05-11 13:01:48",94900859,3458996,NORMAL,5
"2023-05-11 13:01:36",134500027,10147972,CRITICO,1
"2023-05-11 13:01:49",54010457,14881937,NORMAL,8
"2023-05-11 13:02:59",135055963,33084740,NORMAL,0
"2023-05-11 13:01:48",135341522,58308192,NORMAL,3
"2023-05-11 13:02:59",135052974,15849300,NORMAL,8
"2023-05-11 13:01:48",135458031,58329878,NORMAL,3
"2023-05-11 13:01:48",53936458,14675127,NORMAL,6
"2023-05-11 13:01:47",94869677,2227709,NORMAL,2
"2023-05-11 13:01:48",134995141,58227757,CRITICO,2
"2023-05-11 13:01:49",135341652,19590788,NORMAL,5
"2023-05-11 13:01:35",134499078,4722294,CRITICO,2
"2023-05-11 13:01:49",85981718,20591514,NORMAL,5
"2023-05-11 13:01:36",133968294,1470722,NORMAL,7
"2023-05-11 13:01:49",103809691,24862303,NORMAL,8
"2023-05-11 13:02:36",69604825,37662193,CRITICO,6
"2023-05-11 13:01:48",80331755,4035085,NORMAL,3
"2023-05-11 13:01:49",129876574,20498361,NORMAL,4
"2023-05-11 13:01:35",134500324,6143915,CRITICO,4
"2023-05-11 13:01:33",121570208,38320047,NORMAL,3
"2023-05-11 13:01:49",53697032,14678502,CRITICO,6
"2023-05-11 13:01:34",121585434,55849855,NORMAL,8
"2023-05-11 13:01:34",122555874,56178041,CRITICO,1
"2023-05-11 13:01:36",128167584,12478717,NORMAL,4
"2023-05-11 13:01:48",54054327,14629738,NORMAL,6
"2023-05-11 13:01:49",135265043,11843141,NORMAL,8
"2023-05-11 13:01:36",134499837,7732215,CRITICO,3
"2023-05-11 13:02:58",135052146,16488217,NORMAL,4
"2023-05-11 13:01:48",93521761,3664759,NORMAL,6
"2023-05-11 13:01:49",54073284,14784718,NORMAL,7
"2023-05-11 13:01:49",53940620,14642783,NORMAL,6
"2023-05-11 13:02:58",81457606,11308174,CRITICO,3
"2023-05-11 13:01:48",135566695,48565235,NORMAL,5
"2023-05-11 13:01:48",93594377,307321,NORMAL,7
"2023-05-11 13:01:49",53713133,14931270,NORMAL,9
"2023-05-11 13:01:33",109937242,48302099,NORMAL,3
"2023-05-11 13:02:58",135052932,58256663,NORMAL,2
"2023-05-11 13:02:58",135052953,58256659,NORMAL,2
"2023-05-11 13:01:49",85602742,3602438,CRITICO,0
"2023-05-11 13:01:48",53946788,14723143,NORMAL,7
"2023-05-11 13:01:48",54089520,14591560,NORMAL,5
"2023-05-11 13:01:34",122284039,56111710,CRITICO,1
"2023-05-11 13:02:58",135055922,58258180,NORMAL,2
"2023-05-11 13:01:35",123867281,56614796,NORMAL,6
"2023-05-11 13:01:36",130387119,6471967,NORMAL,7
"2023-05-11 13:02:58",135052433,51452852,NORMAL,4
"2023-05-11 13:01:48",54108004,14572958,NORMAL,5
"2023-05-11 16:15:19",124212867,54564759,CRITICO,5
"2023-05-11 13:01:35",135075975,788454,NORMAL,8
"2023-05-11 16:15:19",127798878,54885509,NORMAL,8
"2023-05-11 13:01:49",85587343,3281932,NORMAL,8
"2023-05-11 13:02:58",135052614,58256494,NORMAL,2
"2023-05-11 13:01:49",135341443,14003239,NORMAL,0
"2023-05-11 13:01:33",122284636,46709729,CRITICO,7
"2023-05-11 13:02:58",135052449,58256411,NORMAL,2
"2023-05-11 13:01:48",53852320,14046975,NORMAL,0
"2023-05-11 13:01:36",135377318,5824417,NORMAL,2
"2023-05-11 13:01:48",53926679,14624420,NORMAL,6
"2023-05-11 13:01:48",135341572,58308280,NORMAL,3
"2023-05-11 13:01:35",123861087,56612633,NORMAL,6
"2023-05-11 13:01:34",125864300,56134626,NORMAL,1
"2023-05-11 13:01:34",121584096,55849235,NORMAL,8
"2023-05-11 13:01:49",85550025,4976686,NORMAL,7
"2023-05-11 13:01:48",74497328,2584467,CRITICO,8
"2023-05-11 13:01:36",126404227,2443843,CRITICO,4
"2023-05-11 13:01:48",75784785,704097,NORMAL,4
"2023-05-11 13:02:58",135046744,58253510,NORMAL,2
"2023-05-11 13:01:33",109932080,48298944,NORMAL,2
"2023-05-11 13:01:48",96040980,2836927,NORMAL,3
"2023-05-11 13:02:58",81457925,41324498,CRITICO,3
"2023-05-11 13:02:58",135052042,58256177,NORMAL,2
"2023-05-11 13:01:48",53740608,14161257,NORMAL,1
"2023-05-11 13:01:48",105017280,3316088,NORMAL,1
"2023-05-11 13:01:35",134496122,7446488,CRITICO,4
"2023-05-11 13:01:48",135341642,58308230,NORMAL,3
"2023-05-11 13:02:58",135051408,30701361,NORMAL,7
"2023-05-11 13:01:49",54036111,14823003,NORMAL,8
"2023-05-11 13:02:58",135051592,12441368,NORMAL,4
"2023-05-11 13:01:47",103793596,46770128,NORMAL,7
"2023-05-11 13:02:58",135051988,58256160,NORMAL,2
"2023-05-11 13:02:58",81453691,41322213,CRITICO,3
"2023-05-11 13:01:48",53902368,14874425,NORMAL,8
"2023-05-11 13:02:58",81448519,36102097,CRITICO,1
"2023-05-11 13:01:35",134498155,2308585,CRITICO,0
"2023-05-11 16:15:19",128225709,55635102,NORMAL,6
"2023-05-11 13:01:48",135340990,47082319,NORMAL,0
"2023-05-11 13:01:33",122273568,56109405,CRITICO,1
"2023-05-11 13:02:58",135051367,58255782,NORMAL,2
"2023-05-11 13:01:34",123863927,56613532,NORMAL,6
"2023-05-11 13:02:58",81453434,39116939,CRITICO,1
"2023-05-11 13:01:49",55768731,14850162,NORMAL,8
"2023-05-11 13:02:58",135051928,25255131,NORMAL,2
"2023-05-11 13:01:49",53835883,14582242,NORMAL,5
"2023-05-11 13:02:58",81456728,41323885,CRITICO,3
"2023-05-11 13:01:36",135066494,24460531,NORMAL,4
"2023-05-11 13:01:48",75599852,2486912,NORMAL,8
"2023-05-11 13:02:58",135051865,58256120,NORMAL,2
"2023-05-11 13:01:49",135566699,58354597,NORMAL,3
"2023-05-11 13:01:48",122390102,1232213,CRITICO,3
"2023-05-11 13:01:48",53945221,14573786,NORMAL,5
"2023-05-11 13:01:48",103913794,46990629,NORMAL,9
"2023-05-11 13:01:48",129878151,57566585,NORMAL,5
"2023-05-11 13:01:48",53825094,14865782,NORMAL,8
"2023-05-11 13:02:58",135050687,34121415,NORMAL,1
"2023-05-11 13:01:34",124449376,56697888,CRITICO,6
"2023-05-11 13:01:49",54118616,14941537,NORMAL,9
"2023-05-11 13:01:49",73212980,4232009,CRITICO,3
"2023-05-11 13:01:36",135071241,24522768,NORMAL,5
"2023-05-11 13:01:48",135458018,58329879,NORMAL,3
"2023-05-11 13:01:34",122271851,56108904,CRITICO,1
"2023-05-11 13:01:48",78759518,2878256,NORMAL,7
"2023-05-11 13:01:49",53735769,14911653,NORMAL,9
"2023-05-11 13:02:58",81453886,41322314,CRITICO,3
"2023-05-11 13:02:04",70468226,37753725,CRITICO,7
"2023-05-11 13:01:48",54175615,11071425,NORMAL,0
"2023-05-11 13:01:36",131201095,18144814,NORMAL,1
